ds,category,sub_category,y
2015-04-16,Furniture,Furnishings,1197
2015-04-16,Office Supplies,Appliances,45
2015-04-16,Office Supplies,Art,8
2015-04-16,Office Supplies,Binders,64
2015-04-16,Office Supplies,Fasteners,24
2015-04-16,Technology,Accessories,44
2015-04-16,Technology,Copiers,1440
2015-04-16,Technology,Phones,689
2015-04-17,Office Supplies,Appliances,1448
2015-04-17,Office Supplies,Art,17
2015-04-17,Office Supplies,Binders,62
2015-04-17,Office Supplies,Paper,12
2015-04-17,Technology,Accessories,423
2015-04-17,Technology,Phones,784
2015-04-18,Furniture,Chairs,147
2015-04-18,Furniture,Furnishings,6
2015-04-18,Office Supplies,Art,82
2015-04-18,Office Supplies,Binders,43
2015-04-18,Office Supplies,Labels,97
2015-04-18,Office Supplies,Paper,78
2015-04-18,Office Supplies,Storage,1062
2015-04-18,Technology,Accessories,147
2015-04-18,Technology,Phones,343
2015-04-19,Office Supplies,Appliances,20
2015-04-19,Office Supplies,Binders,310
2015-04-20,Furniture,Furnishings,595
2015-04-20,Office Supplies,Envelopes,181
2015-04-20,Office Supplies,Paper,130
2015-04-20,Technology,Phones,288
2015-04-21,Furniture,Chairs,192
2015-04-21,Furniture,Furnishings,210
2015-04-21,Office Supplies,Binders,21
2015-04-21,Technology,Phones,470
2015-04-22,Office Supplies,Art,64
2015-04-22,Technology,Phones,89
2015-04-24,Office Supplies,Art,26
2015-04-25,Furniture,Chairs,128
2015-04-25,Office Supplies,Appliances,478
2015-04-25,Office Supplies,Art,58
2015-04-25,Office Supplies,Binders,14
2015-04-25,Office Supplies,Envelopes,21
2015-04-25,Office Supplies,Storage,221
2015-04-26,Furniture,Chairs,1304
2015-04-26,Furniture,Furnishings,97
2015-04-26,Furniture,Tables,192
2015-04-26,Office Supplies,Art,63
2015-04-26,Office Supplies,Binders,50
2015-04-26,Office Supplies,Storage,73
2015-04-26,Technology,Phones,312
2015-04-27,Furniture,Chairs,1268
2015-04-27,Office Supplies,Appliances,44
2015-04-27,Office Supplies,Art,23
2015-04-27,Office Supplies,Supplies,6
2015-04-27,Technology,Machines,1380
2015-04-28,Office Supplies,Appliances,196
2015-04-28,Office Supplies,Binders,3825
2015-04-28,Office Supplies,Storage,24
2015-04-29,Office Supplies,Paper,8
2015-04-30,Furniture,Chairs,213
2015-04-30,Furniture,Furnishings,64
2015-04-30,Office Supplies,Art,35
2015-04-30,Office Supplies,Paper,6
2015-04-30,Technology,Phones,1253
2015-05-01,Furniture,Furnishings,64
2015-05-01,Office Supplies,Art,173
2015-05-01,Office Supplies,Binders,12
2015-05-01,Office Supplies,Storage,37
2015-05-01,Office Supplies,Supplies,76
2015-05-01,Technology,Phones,89
2015-05-02,Office Supplies,Labels,9
2015-05-02,Technology,Phones,158
2015-05-03,Furniture,Chairs,844
2015-05-03,Furniture,Furnishings,666
2015-05-03,Office Supplies,Appliances,42
2015-05-03,Office Supplies,Art,69
2015-05-03,Office Supplies,Binders,126
2015-05-03,Office Supplies,Paper,8
2015-05-03,Office Supplies,Storage,77
2015-05-03,Technology,Accessories,368
2015-05-04,Furniture,Furnishings,49
2015-05-04,Office Supplies,Art,126
2015-05-04,Technology,Phones,946
2015-05-07,Furniture,Tables,244
2015-05-07,Office Supplies,Paper,62
2015-05-08,Furniture,Chairs,128
2015-05-08,Furniture,Furnishings,211
2015-05-08,Office Supplies,Art,5
2015-05-08,Office Supplies,Binders,44
2015-05-08,Office Supplies,Paper,57
2015-05-08,Office Supplies,Supplies,358
2015-05-08,Technology,Copiers,2800
2015-05-08,Technology,Phones,378
2015-05-09,Office Supplies,Binders,49
2015-05-10,Office Supplies,Appliances,71
2015-05-10,Office Supplies,Art,37
2015-05-10,Technology,Accessories,47
2015-05-11,Furniture,Chairs,192
2015-05-12,Furniture,Furnishings,22
2015-05-12,Office Supplies,Binders,15
2015-05-12,Office Supplies,Paper,167
2015-05-12,Office Supplies,Storage,37
2015-05-12,Technology,Phones,821
2015-05-13,Office Supplies,Fasteners,16
2015-05-13,Technology,Phones,222
2015-05-14,Furniture,Bookcases,510
2015-05-14,Furniture,Chairs,820
2015-05-14,Furniture,Furnishings,123
2015-05-14,Office Supplies,Art,201
2015-05-14,Office Supplies,Binders,24
2015-05-14,Office Supplies,Envelopes,201
2015-05-14,Office Supplies,Labels,145
2015-05-14,Office Supplies,Storage,1118
2015-05-15,Office Supplies,Envelopes,18
2015-05-15,Office Supplies,Storage,52
2015-05-16,Technology,Accessories,256
2015-05-17,Office Supplies,Binders,33
2015-05-17,Office Supplies,Labels,32
2015-05-17,Office Supplies,Paper,14
2015-05-17,Office Supplies,Supplies,56
2015-05-18,Office Supplies,Paper,11
2015-05-20,Furniture,Furnishings,163
2015-05-20,Office Supplies,Binders,6
2015-05-21,Office Supplies,Appliances,21
2015-05-21,Office Supplies,Binders,52
2015-05-22,Office Supplies,Labels,8
2015-05-22,Office Supplies,Storage,105
2015-05-22,Technology,Machines,2973
2015-05-22,Technology,Phones,776
2015-05-23,Furniture,Furnishings,75
2015-05-23,Office Supplies,Appliances,972
2015-05-23,Office Supplies,Binders,19
2015-05-23,Office Supplies,Envelopes,187
2015-05-23,Office Supplies,Storage,51
2015-05-24,Furniture,Chairs,603
2015-05-24,Office Supplies,Binders,8
2015-05-25,Furniture,Furnishings,15
2015-05-25,Office Supplies,Appliances,846
2015-05-25,Office Supplies,Art,21
2015-05-25,Office Supplies,Binders,128
2015-05-25,Office Supplies,Paper,32
2015-05-25,Office Supplies,Supplies,22
2015-05-25,Technology,Accessories,208
2015-05-25,Technology,Phones,467
2015-05-26,Furniture,Chairs,211
2015-05-26,Furniture,Furnishings,20
2015-05-26,Office Supplies,Envelopes,12
2015-05-26,Office Supplies,Paper,172
2015-05-26,Technology,Accessories,168
2015-05-26,Technology,Machines,400
2015-05-28,Office Supplies,Art,55
2015-05-28,Office Supplies,Binders,6
2015-05-28,Office Supplies,Labels,13
2015-05-28,Office Supplies,Paper,45
2015-05-28,Office Supplies,Storage,629
2015-05-28,Technology,Phones,46
2015-05-29,Furniture,Chairs,317
2015-05-29,Furniture,Furnishings,42
2015-05-29,Office Supplies,Binders,168
2015-05-29,Office Supplies,Fasteners,8
2015-05-29,Office Supplies,Labels,12
2015-05-29,Office Supplies,Paper,117
2015-05-29,Office Supplies,Storage,541
2015-05-30,Office Supplies,Appliances,160
2015-05-30,Technology,Accessories,152
2015-05-30,Technology,Phones,369
2015-05-31,Furniture,Bookcases,1407
2015-05-31,Furniture,Chairs,2568
2015-05-31,Furniture,Furnishings,82
2015-05-31,Office Supplies,Art,10
2015-05-31,Office Supplies,Binders,4
2015-05-31,Office Supplies,Fasteners,8
2015-05-31,Office Supplies,Labels,22
2015-05-31,Office Supplies,Paper,612
2015-05-31,Office Supplies,Storage,466
2015-06-01,Office Supplies,Binders,410
2015-06-01,Office Supplies,Labels,29
2015-06-01,Office Supplies,Paper,54
2015-06-01,Technology,Phones,342
2015-06-04,Furniture,Furnishings,35
2015-06-04,Office Supplies,Art,9
2015-06-04,Office Supplies,Labels,7
2015-06-04,Office Supplies,Paper,30
2015-06-04,Technology,Accessories,1110
2015-06-05,Furniture,Chairs,1523
2015-06-05,Office Supplies,Paper,11
2015-06-07,Office Supplies,Art,8
2015-06-07,Office Supplies,Binders,26
2015-06-07,Office Supplies,Paper,26
2015-06-08,Furniture,Furnishings,173
2015-06-08,Office Supplies,Appliances,143
2015-06-08,Office Supplies,Art,4
2015-06-08,Office Supplies,Binders,18
2015-06-08,Office Supplies,Labels,9
2015-06-08,Office Supplies,Paper,215
2015-06-08,Office Supplies,Storage,517
2015-06-08,Technology,Accessories,2
2015-06-09,Furniture,Furnishings,355
2015-06-09,Office Supplies,Binders,216
2015-06-09,Office Supplies,Paper,13
2015-06-09,Technology,Accessories,73
2015-06-09,Technology,Phones,140
2015-06-11,Furniture,Chairs,1124
2015-06-11,Furniture,Furnishings,78
2015-06-11,Office Supplies,Art,117
2015-06-11,Office Supplies,Binders,119
2015-06-11,Office Supplies,Paper,32
2015-06-11,Office Supplies,Storage,1601
2015-06-11,Technology,Accessories,54
2015-06-11,Technology,Phones,250
2015-06-12,Furniture,Furnishings,43
2015-06-12,Office Supplies,Paper,21
2015-06-12,Office Supplies,Storage,55
2015-06-12,Technology,Phones,56
2015-06-13,Office Supplies,Art,28
2015-06-13,Office Supplies,Binders,94
2015-06-13,Office Supplies,Paper,38
2015-06-13,Technology,Accessories,68
2015-06-13,Technology,Copiers,900
2015-06-14,Furniture,Furnishings,51
2015-06-15,Furniture,Furnishings,405
2015-06-15,Office Supplies,Paper,10
2015-06-15,Office Supplies,Storage,82
2015-06-15,Technology,Accessories,12
2015-06-15,Technology,Phones,226
2015-06-16,Furniture,Chairs,197
2015-06-16,Office Supplies,Binders,3050
2015-06-16,Office Supplies,Envelopes,35
2015-06-16,Office Supplies,Paper,27
2015-06-16,Technology,Phones,134
2015-06-18,Furniture,Chairs,643
2015-06-18,Furniture,Furnishings,136
2015-06-18,Office Supplies,Art,66
2015-06-18,Office Supplies,Binders,88
2015-06-18,Office Supplies,Paper,33
2015-06-18,Office Supplies,Storage,450
2015-06-18,Technology,Phones,468
2015-06-19,Furniture,Furnishings,13
2015-06-19,Office Supplies,Binders,6
2015-06-19,Office Supplies,Envelopes,187
2015-06-19,Office Supplies,Labels,6
2015-06-19,Office Supplies,Paper,6
2015-06-19,Office Supplies,Storage,229
2015-06-20,Furniture,Furnishings,258
2015-06-20,Technology,Accessories,320
2015-06-20,Technology,Phones,252
2015-06-21,Technology,Phones,108
2015-06-22,Furniture,Tables,796
2015-06-22,Office Supplies,Binders,1218
2015-06-22,Office Supplies,Fasteners,5
2015-06-23,Furniture,Furnishings,27
2015-06-23,Office Supplies,Binders,166
2015-06-23,Office Supplies,Fasteners,5
2015-06-23,Technology,Accessories,75
2015-06-23,Technology,Phones,564
2015-06-25,Furniture,Furnishings,280
2015-06-25,Office Supplies,Art,21
2015-06-25,Office Supplies,Binders,1073
2015-06-25,Office Supplies,Labels,5
2015-06-25,Office Supplies,Paper,79
2015-06-25,Office Supplies,Storage,382
2015-06-26,Furniture,Chairs,333
2015-06-26,Office Supplies,Binders,187
2015-06-26,Office Supplies,Paper,43
2015-06-26,Office Supplies,Storage,15
2015-06-26,Technology,Accessories,42
2015-06-26,Technology,Phones,972
2015-06-28,Furniture,Bookcases,483
2015-06-28,Furniture,Furnishings,622
2015-06-28,Office Supplies,Art,141
2015-06-28,Office Supplies,Binders,120
2015-06-28,Office Supplies,Labels,6
2015-06-28,Office Supplies,Paper,16
2015-06-29,Furniture,Chairs,118
2015-06-29,Furniture,Furnishings,20
2015-06-29,Office Supplies,Paper,25
2015-06-29,Technology,Phones,270
2015-07-02,Furniture,Chairs,790
2015-07-02,Furniture,Furnishings,160
2015-07-02,Office Supplies,Appliances,33
2015-07-02,Office Supplies,Binders,3
2015-07-02,Office Supplies,Paper,67
2015-07-02,Office Supplies,Storage,505
2015-07-02,Technology,Phones,74
2015-07-03,Furniture,Chairs,71
2015-07-03,Furniture,Furnishings,451
2015-07-03,Office Supplies,Labels,295
2015-07-03,Office Supplies,Paper,7
2015-07-04,Office Supplies,Art,15
2015-07-04,Office Supplies,Binders,23
2015-07-04,Technology,Phones,1100
2015-07-05,Furniture,Furnishings,10
2015-07-05,Office Supplies,Binders,26
2015-07-05,Office Supplies,Labels,12
2015-07-05,Office Supplies,Storage,39
2015-07-05,Technology,Accessories,35
2015-07-06,Furniture,Bookcases,302
2015-07-06,Furniture,Chairs,170
2015-07-06,Furniture,Furnishings,170
2015-07-06,Office Supplies,Art,11
2015-07-06,Office Supplies,Storage,602
2015-07-06,Technology,Phones,125
2015-07-08,Office Supplies,Paper,21
2015-07-09,Furniture,Furnishings,182
2015-07-09,Office Supplies,Appliances,49
2015-07-09,Office Supplies,Art,84
2015-07-09,Office Supplies,Binders,404
2015-07-09,Office Supplies,Fasteners,16
2015-07-09,Office Supplies,Labels,12
2015-07-09,Office Supplies,Paper,7
2015-07-09,Office Supplies,Storage,98
2015-07-09,Technology,Machines,465
2015-07-09,Technology,Phones,270
2015-07-10,Office Supplies,Binders,43
2015-07-11,Furniture,Chairs,341
2015-07-11,Furniture,Furnishings,315
2015-07-11,Furniture,Tables,200
2015-07-11,Office Supplies,Art,11
2015-07-11,Office Supplies,Binders,328
2015-07-11,Office Supplies,Paper,30
2015-07-11,Technology,Phones,716
2015-07-12,Furniture,Chairs,384
2015-07-12,Furniture,Furnishings,8
2015-07-12,Office Supplies,Art,7
2015-07-12,Office Supplies,Binders,2
2015-07-12,Technology,Phones,1652
2015-07-13,Furniture,Chairs,1931
2015-07-13,Office Supplies,Binders,54
2015-07-13,Office Supplies,Paper,49
2015-07-14,Furniture,Bookcases,128
2015-07-14,Furniture,Chairs,442
2015-07-14,Office Supplies,Paper,18
2015-07-14,Office Supplies,Storage,273
2015-07-16,Furniture,Chairs,2200
2015-07-16,Office Supplies,Envelopes,137
2015-07-16,Office Supplies,Fasteners,12
2015-07-16,Office Supplies,Paper,81
2015-07-16,Technology,Accessories,600
2015-07-17,Furniture,Bookcases,427
2015-07-17,Office Supplies,Fasteners,14
2015-07-17,Office Supplies,Labels,6
2015-07-18,Furniture,Furnishings,7
2015-07-18,Office Supplies,Art,6
2015-07-18,Office Supplies,Binders,3
2015-07-18,Technology,Accessories,520
2015-07-18,Technology,Phones,136
2015-07-19,Office Supplies,Binders,2
2015-07-20,Furniture,Bookcases,1298
2015-07-20,Office Supplies,Binders,3
2015-07-20,Office Supplies,Envelopes,107
2015-07-20,Office Supplies,Paper,124
2015-07-20,Office Supplies,Storage,176
2015-07-20,Technology,Accessories,831
2015-07-20,Technology,Phones,154
2015-07-23,Furniture,Furnishings,129
2015-07-23,Office Supplies,Appliances,69
2015-07-23,Office Supplies,Binders,11
2015-07-24,Furniture,Furnishings,21
2015-07-24,Office Supplies,Binders,225
2015-07-24,Technology,Accessories,280
2015-07-25,Furniture,Bookcases,705
2015-07-25,Furniture,Chairs,562
2015-07-25,Furniture,Tables,359
2015-07-25,Office Supplies,Binders,25
2015-07-25,Office Supplies,Envelopes,98
2015-07-25,Office Supplies,Fasteners,9
2015-07-25,Office Supplies,Paper,13
2015-07-25,Technology,Phones,624
2015-07-26,Furniture,Chairs,266
2015-07-26,Furniture,Tables,393
2015-07-26,Office Supplies,Art,99
2015-07-26,Office Supplies,Binders,32
2015-07-26,Office Supplies,Envelopes,168
2015-07-26,Office Supplies,Paper,10
2015-07-27,Technology,Phones,30
2015-07-30,Furniture,Chairs,156
2015-07-30,Furniture,Furnishings,5
2015-07-30,Office Supplies,Binders,11
2015-07-30,Office Supplies,Storage,62
2015-07-30,Technology,Accessories,210
2015-07-31,Furniture,Tables,1091
2015-07-31,Office Supplies,Paper,19
2015-07-31,Office Supplies,Supplies,53
2015-07-31,Technology,Accessories,2550
2015-08-01,Furniture,Tables,1005
2015-08-01,Office Supplies,Art,7
2015-08-02,Furniture,Chairs,111
2015-08-02,Furniture,Tables,278
2015-08-02,Office Supplies,Binders,6
2015-08-02,Office Supplies,Paper,8
2015-08-02,Technology,Accessories,200
2015-08-02,Technology,Machines,558
2015-08-02,Technology,Phones,129
2015-08-05,Furniture,Furnishings,15
2015-08-05,Office Supplies,Binders,1
2015-08-05,Office Supplies,Storage,33
2015-08-05,Office Supplies,Supplies,23
2015-08-06,Furniture,Bookcases,369
2015-08-06,Office Supplies,Binders,6
2015-08-06,Office Supplies,Labels,36
2015-08-06,Office Supplies,Paper,84
2015-08-07,Furniture,Furnishings,213
2015-08-07,Office Supplies,Appliances,78
2015-08-07,Office Supplies,Art,107
2015-08-07,Office Supplies,Binders,50
2015-08-07,Office Supplies,Labels,25
2015-08-07,Technology,Phones,495
2015-08-08,Furniture,Chairs,145
2015-08-08,Office Supplies,Appliances,114
2015-08-08,Office Supplies,Art,40
2015-08-08,Office Supplies,Binders,462
2015-08-08,Technology,Accessories,80
2015-08-09,Furniture,Bookcases,687
2015-08-09,Furniture,Furnishings,63
2015-08-09,Furniture,Tables,1005
2015-08-09,Office Supplies,Art,2
2015-08-09,Office Supplies,Binders,1218
2015-08-09,Office Supplies,Fasteners,11
2015-08-09,Office Supplies,Labels,5
2015-08-09,Office Supplies,Paper,288
2015-08-09,Office Supplies,Storage,64
2015-08-09,Technology,Accessories,248
2015-08-09,Technology,Phones,1288
2015-08-10,Office Supplies,Appliances,133
2015-08-10,Office Supplies,Art,30
2015-08-10,Office Supplies,Binders,65
2015-08-10,Office Supplies,Labels,45
2015-08-10,Technology,Phones,578
2015-08-11,Furniture,Furnishings,46
2015-08-11,Office Supplies,Art,12
2015-08-11,Technology,Phones,138
2015-08-13,Furniture,Furnishings,32
2015-08-13,Office Supplies,Art,116
2015-08-13,Office Supplies,Binders,17
2015-08-13,Office Supplies,Storage,423
2015-08-15,Furniture,Furnishings,104
2015-08-15,Office Supplies,Storage,393
2015-08-16,Furniture,Bookcases,301
2015-08-16,Furniture,Furnishings,254
2015-08-16,Office Supplies,Art,2
2015-08-16,Office Supplies,Binders,7
2015-08-16,Office Supplies,Labels,5
2015-08-16,Office Supplies,Paper,333
2015-08-16,Office Supplies,Storage,45
2015-08-16,Technology,Accessories,31
2015-08-16,Technology,Phones,2400
2015-08-17,Office Supplies,Art,10
2015-08-17,Office Supplies,Binders,52
2015-08-17,Office Supplies,Paper,36
2015-08-17,Technology,Accessories,283
2015-08-21,Furniture,Bookcases,586
2015-08-21,Furniture,Chairs,1142
2015-08-21,Furniture,Furnishings,26
2015-08-21,Office Supplies,Art,54
2015-08-21,Office Supplies,Binders,113
2015-08-21,Office Supplies,Paper,138
2015-08-21,Office Supplies,Storage,744
2015-08-21,Office Supplies,Supplies,3
2015-08-21,Technology,Accessories,22
2015-08-22,Office Supplies,Art,17
2015-08-22,Office Supplies,Binders,50
2015-08-23,Office Supplies,Appliances,575
2015-08-23,Office Supplies,Fasteners,12
2015-08-23,Office Supplies,Labels,9
2015-08-23,Office Supplies,Paper,323
2015-08-23,Office Supplies,Supplies,32
2015-08-23,Technology,Accessories,252
2015-08-24,Furniture,Furnishings,15
2015-08-24,Furniture,Tables,1203
2015-08-24,Office Supplies,Art,7
2015-08-24,Office Supplies,Binders,3
2015-08-24,Office Supplies,Labels,7
2015-08-24,Office Supplies,Storage,2159
2015-08-24,Technology,Accessories,106
2015-08-24,Technology,Machines,3080
2015-08-24,Technology,Phones,615
2015-08-25,Furniture,Chairs,41
2015-08-25,Furniture,Furnishings,28
2015-08-25,Office Supplies,Appliances,106
2015-08-25,Office Supplies,Binders,4
2015-08-27,Office Supplies,Binders,5
2015-08-27,Office Supplies,Labels,3
2015-08-27,Office Supplies,Paper,114
2015-08-27,Office Supplies,Storage,485
2015-08-27,Office Supplies,Supplies,33
2015-08-28,Furniture,Bookcases,308
2015-08-28,Furniture,Furnishings,4
2015-08-28,Furniture,Tables,103
2015-08-28,Office Supplies,Binders,41
2015-08-28,Office Supplies,Storage,2091
2015-08-28,Technology,Copiers,2800
2015-08-28,Technology,Phones,1143
2015-08-29,Technology,Accessories,115
2015-08-29,Technology,Phones,132
2015-08-31,Furniture,Bookcases,1553
2015-08-31,Office Supplies,Binders,137
2015-08-31,Office Supplies,Paper,79
2015-08-31,Technology,Accessories,37
2015-08-31,Technology,Machines,240
2015-08-31,Technology,Phones,556
2015-09-01,Furniture,Chairs,61
2015-09-01,Furniture,Furnishings,124
2015-09-01,Office Supplies,Binders,134
2015-09-01,Office Supplies,Storage,1089
2015-09-01,Technology,Copiers,960
2015-09-03,Furniture,Chairs,130
2015-09-03,Furniture,Furnishings,238
2015-09-03,Office Supplies,Appliances,138
2015-09-03,Office Supplies,Binders,6
2015-09-03,Office Supplies,Envelopes,254
2015-09-03,Office Supplies,Labels,8
2015-09-03,Office Supplies,Storage,187
2015-09-03,Office Supplies,Supplies,666
2015-09-03,Technology,Accessories,147
2015-09-03,Technology,Phones,100
2015-09-04,Office Supplies,Binders,18
2015-09-04,Office Supplies,Envelopes,15
2015-09-04,Office Supplies,Paper,284
2015-09-04,Technology,Accessories,754
2015-09-05,Furniture,Bookcases,704
2015-09-05,Furniture,Furnishings,74
2015-09-05,Office Supplies,Binders,49
2015-09-05,Office Supplies,Paper,37
2015-09-05,Office Supplies,Supplies,69
2015-09-06,Furniture,Chairs,272
2015-09-06,Furniture,Furnishings,192
2015-09-06,Furniture,Tables,86
2015-09-06,Office Supplies,Appliances,8
2015-09-06,Office Supplies,Binders,56
2015-09-06,Office Supplies,Fasteners,7
2015-09-06,Technology,Accessories,46
2015-09-06,Technology,Phones,338
2015-09-07,Furniture,Chairs,48
2015-09-07,Furniture,Tables,508
2015-09-07,Office Supplies,Art,141
2015-09-07,Office Supplies,Binders,21
2015-09-07,Office Supplies,Fasteners,7
2015-09-07,Office Supplies,Storage,756
2015-09-07,Technology,Accessories,650
2015-09-07,Technology,Phones,792
2015-09-08,Furniture,Furnishings,21
2015-09-08,Office Supplies,Paper,26
2015-09-08,Office Supplies,Storage,42
2015-09-10,Furniture,Bookcases,362
2015-09-10,Furniture,Chairs,180
2015-09-10,Furniture,Furnishings,107
2015-09-10,Office Supplies,Appliances,62
2015-09-10,Office Supplies,Art,6
2015-09-10,Office Supplies,Paper,294
2015-09-10,Office Supplies,Storage,354
2015-09-10,Office Supplies,Supplies,52
2015-09-11,Furniture,Furnishings,245
2015-09-11,Office Supplies,Appliances,111
2015-09-11,Office Supplies,Art,447
2015-09-11,Office Supplies,Binders,210
2015-09-11,Office Supplies,Labels,40
2015-09-11,Office Supplies,Paper,39
2015-09-11,Office Supplies,Storage,852
2015-09-11,Technology,Accessories,20
2015-09-12,Office Supplies,Art,9
2015-09-12,Office Supplies,Envelopes,27
2015-09-12,Office Supplies,Fasteners,1
2015-09-12,Office Supplies,Labels,34
2015-09-12,Office Supplies,Paper,29
2015-09-12,Office Supplies,Storage,106
2015-09-12,Technology,Accessories,22
2015-09-12,Technology,Copiers,480
2015-09-13,Furniture,Chairs,2404
2015-09-13,Furniture,Furnishings,514
2015-09-13,Office Supplies,Binders,40
2015-09-13,Office Supplies,Envelopes,8
2015-09-13,Office Supplies,Paper,280
2015-09-13,Technology,Accessories,200
2015-09-14,Furniture,Tables,1083
2015-09-14,Office Supplies,Binders,39
2015-09-14,Office Supplies,Storage,1260
2015-09-14,Technology,Copiers,880
2015-09-15,Furniture,Bookcases,46
2015-09-15,Furniture,Chairs,1057
2015-09-15,Furniture,Furnishings,72
2015-09-15,Furniture,Tables,802
2015-09-15,Office Supplies,Art,24
2015-09-15,Office Supplies,Binders,84
2015-09-15,Office Supplies,Paper,29
2015-09-15,Office Supplies,Storage,363
2015-09-15,Technology,Phones,60
2015-09-16,Office Supplies,Envelopes,31
2015-09-17,Furniture,Bookcases,9316
2015-09-17,Furniture,Chairs,200
2015-09-17,Furniture,Furnishings,146
2015-09-17,Furniture,Tables,344
2015-09-17,Office Supplies,Art,102
2015-09-17,Office Supplies,Binders,49
2015-09-17,Office Supplies,Envelopes,3
2015-09-17,Office Supplies,Labels,88
2015-09-17,Office Supplies,Paper,143
2015-09-17,Office Supplies,Storage,110
2015-09-17,Technology,Accessories,747
2015-09-17,Technology,Phones,278
2015-09-18,Furniture,Furnishings,24
2015-09-18,Office Supplies,Art,12
2015-09-18,Office Supplies,Binders,65
2015-09-18,Office Supplies,Paper,200
2015-09-18,Office Supplies,Storage,1123
2015-09-18,Office Supplies,Supplies,24
2015-09-18,Technology,Accessories,717
2015-09-18,Technology,Phones,1760
2015-09-19,Furniture,Bookcases,62
2015-09-19,Furniture,Furnishings,61
2015-09-19,Office Supplies,Art,8
2015-09-19,Office Supplies,Paper,23
2015-09-19,Technology,Accessories,66
2015-09-19,Technology,Phones,280
2015-09-20,Office Supplies,Binders,1481
2015-09-20,Office Supplies,Paper,61
2015-09-20,Office Supplies,Storage,294
2015-09-21,Furniture,Bookcases,194
2015-09-21,Furniture,Chairs,2835
2015-09-21,Furniture,Furnishings,90
2015-09-21,Office Supplies,Art,26
2015-09-21,Office Supplies,Binders,15
2015-09-21,Office Supplies,Envelopes,122
2015-09-21,Office Supplies,Fasteners,8
2015-09-21,Office Supplies,Paper,24
2015-09-21,Office Supplies,Storage,1238
2015-09-21,Technology,Accessories,151
2015-09-21,Technology,Phones,2280
2015-09-22,Furniture,Furnishings,253
2015-09-22,Office Supplies,Appliances,61
2015-09-22,Office Supplies,Art,3
2015-09-22,Office Supplies,Binders,3
2015-09-22,Office Supplies,Labels,12
2015-09-22,Office Supplies,Paper,32
2015-09-22,Office Supplies,Storage,745
2015-09-22,Office Supplies,Supplies,56
2015-09-22,Technology,Accessories,618
2015-09-24,Furniture,Chairs,1926
2015-09-24,Furniture,Furnishings,15
2015-09-24,Office Supplies,Appliances,1158
2015-09-24,Office Supplies,Art,91
2015-09-24,Office Supplies,Binders,37
2015-09-24,Office Supplies,Envelopes,56
2015-09-24,Office Supplies,Labels,24
2015-09-24,Office Supplies,Storage,34
2015-09-24,Technology,Accessories,23
2015-09-24,Technology,Phones,857
2015-09-25,Furniture,Chairs,410
2015-09-25,Furniture,Tables,1045
2015-09-25,Office Supplies,Art,136
2015-09-25,Office Supplies,Binders,108
2015-09-25,Office Supplies,Envelopes,17
2015-09-25,Office Supplies,Labels,13
2015-09-25,Office Supplies,Paper,76
2015-09-25,Technology,Accessories,1124
2015-09-25,Technology,Phones,105
2015-09-26,Office Supplies,Appliances,61
2015-09-26,Office Supplies,Binders,352
2015-09-26,Office Supplies,Envelopes,124
2015-09-26,Office Supplies,Fasteners,34
2015-09-26,Office Supplies,Paper,259
2015-09-26,Office Supplies,Storage,548
2015-09-26,Technology,Accessories,290
2015-09-26,Technology,Machines,630
2015-09-26,Technology,Phones,1424
2015-09-27,Furniture,Furnishings,24
2015-09-27,Office Supplies,Art,115
2015-09-27,Office Supplies,Binders,15
2015-09-27,Office Supplies,Paper,341
2015-09-27,Office Supplies,Storage,16
2015-09-27,Technology,Phones,1872
2015-09-28,Office Supplies,Appliances,567
2015-09-28,Office Supplies,Binders,83
2015-09-28,Office Supplies,Envelopes,13
2015-09-28,Office Supplies,Fasteners,5
2015-09-28,Office Supplies,Supplies,47
2015-09-28,Technology,Phones,345
2015-10-01,Office Supplies,Binders,25
2015-10-01,Office Supplies,Storage,139
2015-10-01,Technology,Accessories,109
2015-10-01,Technology,Phones,885
2015-10-02,Furniture,Furnishings,11
2015-10-02,Office Supplies,Binders,165
2015-10-02,Office Supplies,Envelopes,51
2015-10-02,Office Supplies,Paper,114
2015-10-02,Office Supplies,Storage,270
2015-10-02,Office Supplies,Supplies,11
2015-10-02,Technology,Accessories,143
2015-10-02,Technology,Phones,504
2015-10-03,Furniture,Bookcases,156
2015-10-03,Office Supplies,Binders,32
2015-10-03,Office Supplies,Storage,15
2015-10-03,Technology,Accessories,72
2015-10-04,Furniture,Chairs,393
2015-10-04,Furniture,Furnishings,65
2015-10-04,Office Supplies,Paper,21
2015-10-04,Office Supplies,Storage,27
2015-10-05,Furniture,Bookcases,66
2015-10-05,Furniture,Chairs,291
2015-10-05,Office Supplies,Appliances,29
2015-10-05,Office Supplies,Art,46
2015-10-05,Office Supplies,Storage,78
2015-10-05,Technology,Accessories,341
2015-10-08,Furniture,Furnishings,219
2015-10-08,Office Supplies,Art,3
2015-10-09,Furniture,Chairs,390
2015-10-09,Office Supplies,Appliances,299
2015-10-09,Office Supplies,Art,37
2015-10-09,Office Supplies,Binders,13
2015-10-09,Office Supplies,Envelopes,58
2015-10-09,Office Supplies,Paper,24
2015-10-09,Office Supplies,Storage,31
2015-10-09,Technology,Accessories,620
2015-10-09,Technology,Phones,661
2015-10-10,Furniture,Chairs,362
2015-10-10,Office Supplies,Art,8
